,name,display_name,description
225,acchrysaetos_homolog_orthology_confidence,"Golden eagle orthology confidence [0 low, 1 high]",
226,cabingdonii_homolog_orthology_confidence,"Abingdon island giant tortoise orthology confidence [0 low, 1 high]",
227,eeuropaeus_homolog_chrom_end,Hedgehog chromosome/scaffold end (bp),
228,mpahari_homolog_perc_id,%id. target Shrew mouse gene identical to query gene,
229,cgchok1gshd_homolog_perc_id_r1,%id. query gene identical to target Chinese hamster CHOK1GS gene,
230,etelfairi_homolog_ensembl_peptide,Lesser hedgehog tenrec protein or transcript stable ID,
231,sorbicularis_homolog_perc_id,%id. target Orbiculate cardinalfish gene identical to query gene,
232,anancymaae_homolog_wga_coverage,Ma's night monkey Whole-genome alignment coverage,
233,acarolinensis_homolog_orthology_confidence,"Anole lizard orthology confidence [0 low, 1 high]",
234,cpbellii_homolog_canonical_transcript_protein,Query protein or transcript ID,
235,mlucifugus_homolog_associated_gene_name,Microbat gene name,
236,transcript_flank,,
237,oanatinus_homolog_orthology_type,Platypus homology type,
238,eaasinus_homolog_canonical_transcript_protein,Query protein or transcript ID,
239,acitrinellus_homolog_wga_coverage,Midas cichlid Whole-genome alignment coverage,
240,sfasciatus_homolog_dn,dN with Jewelled blenny,
241,pvitticeps_homolog_perc_id,%id. target Central bearded dragon gene identical to query gene,
242,marmatus_homolog_chromosome,Zig-zag eel chromosome/scaffold name,
243,hburtoni_homolog_orthology_type,Burton's mouthbrooder homology type,
244,tnigroviridis_homolog_wga_coverage,Tetraodon Whole-genome alignment coverage,
245,rnorvegicus_homolog_orthology_confidence,"Rat orthology confidence [0 low, 1 high]",
246,cjacchus_homolog_canonical_transcript_protein,Query protein or transcript ID,
247,cdromedarius_homolog_goc_score,Arabian camel Gene-order conservation score,
248,mmurdjan_homolog_associated_gene_name,Pinecone soldierfish gene name,
249,snp_transcript_version,,
250,bthybrid_homolog_associated_gene_name,Hybrid - Bos Taurus gene name,
251,smerianae_homolog_ds,dS with Argentine black and white tegu,
252,ensembl_peptide_id,Protein stable ID,
253,cpbellii_homolog_dn,dN with Painted turtle,
254,sequence_transcript_length,,
255,ipunctatus_homolog_subtype,Last common ancestor with Channel catfish,
256,lcoronata_homolog_dn,dN with Blue-crowned manakin,
257,eburgeri_homolog_wga_coverage,Hagfish Whole-genome alignment coverage,
258,sldorsalis_homolog_chromosome,Yellowtail amberjack chromosome/scaffold name,
259,platipinna_homolog_perc_id,%id. target Sailfin molly gene identical to query gene,
260,tgelada_homolog_wga_coverage,Gelada Whole-genome alignment coverage,
261,cgcrigri_homolog_goc_score,Chinese hamster CriGri Gene-order conservation score,
262,eelectricus_homolog_perc_id,%id. target Electric eel gene identical to query gene,
263,omelastigma_homolog_canonical_transcript_protein,Query protein or transcript ID,
264,cjacchus_homolog_dn,dN with Marmoset,
265,cjacchus_homolog_orthology_type,Marmoset homology type,
266,ccapucinus_homolog_associated_gene_name,Capuchin gene name,
267,oaries_homolog_goc_score,Sheep Gene-order conservation score,
268,catys_homolog_perc_id,%id. target Sooty mangabey gene identical to query gene,
269,sformosus_homolog_orthology_type,Asian bonytongue homology type,
270,oaureus_homolog_chromosome,Blue tilapia chromosome/scaffold name,
271,ggorilla_homolog_orthology_type,Gorilla homology type,
272,structure_external_gene_name,,
273,oniloticus_homolog_ds,dS with Nile tilapia,
274,mspretus_homolog_dn,dN with Algerian mouse,
275,lcoronata_homolog_canonical_transcript_protein,Query protein or transcript ID,
276,rnorvegicus_homolog_wga_coverage,Rat Whole-genome alignment coverage,
277,anancymaae_homolog_chromosome,Ma's night monkey chromosome/scaffold name,
278,mleucophaeus_homolog_orthology_confidence,"Drill orthology confidence [0 low, 1 high]",
279,rbieti_homolog_chromosome,Black snub-nosed monkey chromosome/scaffold name,
280,illumina_humanwg_6_v1,ILLUMINA HumanWG 6 V1 probe,
281,mundulatus_homolog_ensembl_gene,Budgerigar gene stable ID,
282,bgrunniens_homolog_chrom_start,Domestic yak chromosome/scaffold start (bp),
283,mzebra_homolog_orthology_type,Zebra mbuna homology type,
284,rroxellana_homolog_associated_gene_name,Golden snub-nosed monkey gene name,
285,etelfairi_homolog_orthology_confidence,"Lesser hedgehog tenrec orthology confidence [0 low, 1 high]",
286,oprinceps_homolog_ensembl_peptide,Pika protein or transcript stable ID,
287,oaries_homolog_ensembl_gene,Sheep gene stable ID,
288,cmilii_homolog_subtype,Last common ancestor with Elephant shark,
289,ocuniculus_homolog_chrom_start,Rabbit chromosome/scaffold start (bp),
290,mmulatta_homolog_ensembl_peptide,Macaque protein or transcript stable ID,
291,dnovemcinctus_homolog_chromosome,Armadillo chromosome/scaffold name,
292,mvitellinus_homolog_associated_gene_name,Golden-collared manakin gene name,
293,neugenii_homolog_ensembl_gene,Wallaby gene stable ID,
294,odegus_homolog_perc_id,%id. target Degu gene identical to query gene,
295,hcomes_homolog_chromosome,Tiger tail seahorse chromosome/scaffold name,
296,rbieti_homolog_wga_coverage,Black snub-nosed monkey Whole-genome alignment coverage,
297,lbergylta_homolog_ensembl_gene,Ballan wrasse gene stable ID,
298,tbelangeri_homolog_subtype,Last common ancestor with Tree Shrew,
299,mleucophaeus_homolog_associated_gene_name,Drill gene name,
300,ipunctatus_homolog_chrom_end,Channel catfish chromosome/scaffold end (bp),
301,sequence_cdna_coding_start,cDNA coding start,
302,eburgeri_homolog_canonical_transcript_protein,Query protein or transcript ID,
303,ppaniscus_homolog_orthology_confidence,"Bonobo orthology confidence [0 low, 1 high]",
304,sformosus_homolog_orthology_confidence,"Asian bonytongue orthology confidence [0 low, 1 high]",
305,sscrofa_homolog_canonical_transcript_protein,Query protein or transcript ID,
306,vvulpes_homolog_subtype,Last common ancestor with Red fox,
307,ptaltaica_homolog_ensembl_peptide,Tiger protein or transcript stable ID,
308,lcrocea_homolog_perc_id_r1,%id. query gene identical to target Large yellow croaker gene,
309,sscrofa_homolog_ensembl_peptide,Pig protein or transcript stable ID,
310,ggallus_homolog_ensembl_peptide,Chicken protein or transcript stable ID,
311,mpfuro_homolog_goc_score,Ferret Gene-order conservation score,
312,itridecemlineatus_homolog_ensembl_peptide,Squirrel protein or transcript stable ID,
313,somatic_variation_name,Variant name,
314,vpacos_homolog_associated_gene_name,Alpaca gene name,
315,mspretus_homolog_perc_id,%id. target Algerian mouse gene identical to query gene,
316,gaculeatus_homolog_ds,dS with Stickleback,
317,mgallopavo_homolog_chromosome,Turkey chromosome/scaffold name,
318,uamericanus_homolog_perc_id,%id. target American black bear gene identical to query gene,
319,omelastigma_homolog_chrom_end,Indian medaka chromosome/scaffold end (bp),
320,bmutus_homolog_goc_score,Wild yak Gene-order conservation score,
321,sequence_description,,
322,scanaria_homolog_ds,dS with Common canary,
323,mspretus_homolog_goc_score,Algerian mouse Gene-order conservation score,
324,ptephrosceles_homolog_canonical_transcript_protein,Query protein or transcript ID,
325,mpahari_homolog_goc_score,Shrew mouse Gene-order conservation score,
326,dordii_homolog_associated_gene_name,Kangaroo rat gene name,
327,rbieti_homolog_subtype,Last common ancestor with Black snub-nosed monkey,
328,structure_transcript_chrom_strand,,
329,cgpicr_homolog_ensembl_peptide,Chinese hamster PICR protein or transcript stable ID,
330,capalliatus_homolog_perc_id_r1,%id. query gene identical to target Angola colobus gene,
331,rnorvegicus_homolog_ds,dS with Rat,
332,eelectricus_homolog_orthology_confidence,"Electric eel orthology confidence [0 low, 1 high]",
333,hburtoni_homolog_wga_coverage,Burton's mouthbrooder Whole-genome alignment coverage,
334,cabingdonii_homolog_associated_gene_name,Abingdon island giant tortoise gene name,
335,xmaculatus_homolog_associated_gene_name,Platyfish gene name,
336,sequence_uniprot_sptrembl,,
337,bgrunniens_homolog_wga_coverage,Domestic yak Whole-genome alignment coverage,
338,csyrichta_homolog_goc_score,Tarsier Gene-order conservation score,
339,ocuniculus_homolog_chrom_end,Rabbit chromosome/scaffold end (bp),
340,bbbison_homolog_dn,dN with American bison,
341,mmmarmota_homolog_ensembl_gene,Alpine marmot gene stable ID,
342,lsdomestica_homolog_chromosome,Bengalese finch chromosome/scaffold name,
343,rnorvegicus_homolog_chrom_end,Rat chromosome/scaffold end (bp),
344,smerianae_homolog_subtype,Last common ancestor with Argentine black and white tegu,
345,smerianae_homolog_associated_gene_name,Argentine black and white tegu gene name,
346,rferrumequinum_homolog_canonical_transcript_protein,Query protein or transcript ID,
347,cdna_coding_end,CDS end (within cDNA),
348,gagassizii_homolog_goc_score,Agassiz's desert tortoise Gene-order conservation score,
349,strutta_homolog_ds,dS with River trout,
350,cfamiliaris_homolog_ensembl_gene,Dog gene stable ID,
351,gwilldenowi_homolog_dn,dN with Blunt-snouted clingfish,
352,transcript_length,Transcript length (including UTRs and CDS),
353,ampachon_homolog_wga_coverage,Pachon cavefish Whole-genome alignment coverage,
354,ipunctatus_homolog_wga_coverage,Channel catfish Whole-genome alignment coverage,
355,umaritimus_homolog_associated_gene_name,Polar bear gene name,
356,sscrofa_homolog_chromosome,Pig chromosome/scaffold name,
357,vursinus_homolog_dn,dN with Common wombat,
358,xmaculatus_homolog_chrom_start,Platyfish chromosome/scaffold start (bp),
359,mpahari_homolog_chrom_end,Shrew mouse chromosome/scaffold end (bp),
360,omelastigma_homolog_dn,dN with Indian medaka,
361,clanigera_homolog_perc_id_r1,%id. query gene identical to target Long-tailed chinchilla gene,
362,celegans_homolog_subtype,Last common ancestor with Caenorhabditis elegans,
363,end_exon_id,End exon id,
364,acchrysaetos_homolog_associated_gene_name,Golden eagle gene name,
365,cpbellii_homolog_subtype,Last common ancestor with Painted turtle,
366,pformosa_homolog_orthology_confidence,"Amazon molly orthology confidence [0 low, 1 high]",
367,oniloticus_homolog_canonical_transcript_protein,Query protein or transcript ID,
368,ggallus_homolog_dn,dN with Chicken,
369,lcrocea_homolog_orthology_type,Large yellow croaker homology type,
370,caperea_homolog_chrom_start,Brazilian guinea pig chromosome/scaffold start (bp),
371,hgmale_homolog_ensembl_gene,Naked mole-rat male gene stable ID,
372,dclupeoides_homolog_chrom_start,Denticle herring chromosome/scaffold start (bp),
373,jhyemalis_homolog_chrom_start,Dark-eyed junco chromosome/scaffold start (bp),
374,cjaponica_homolog_subtype,Last common ancestor with Japanese quail,
375,hgmale_homolog_orthology_confidence,"Naked mole-rat male orthology confidence [0 low, 1 high]",
376,hcomes_homolog_subtype,Last common ancestor with Tiger tail seahorse,
377,hgmale_homolog_orthology_type,Naked mole-rat male homology type,
378,cjacchus_homolog_ds,dS with Marmoset,
379,gaculeatus_homolog_ensembl_peptide,Stickleback protein or transcript stable ID,
380,ssalar_homolog_wga_coverage,Atlantic salmon Whole-genome alignment coverage,
381,amelanoleuca_homolog_wga_coverage,Panda Whole-genome alignment coverage,
382,lcanadensis_homolog_ensembl_peptide,Canada lynx protein or transcript stable ID,
383,clanigera_homolog_ds,dS with Long-tailed chinchilla,
384,fheteroclitus_homolog_chrom_start,Mummichog chromosome/scaffold start (bp),
385,psimus_homolog_subtype,Last common ancestor with Greater bamboo lemur,
386,ecaballus_homolog_chrom_end,Horse chromosome/scaffold end (bp),
387,psimus_homolog_wga_coverage,Greater bamboo lemur Whole-genome alignment coverage,
388,shabroptila_homolog_chrom_end,Kakapo chromosome/scaffold end (bp),
389,embl,European Nucleotide Archive ID,
390,cvariegatus_homolog_canonical_transcript_protein,Query protein or transcript ID,
391,hcomes_homolog_ds,dS with Tiger tail seahorse,
392,ptaltaica_homolog_canonical_transcript_protein,Query protein or transcript ID,
393,uamericanus_homolog_perc_id_r1,%id. query gene identical to target American black bear gene,
394,acitrinellus_homolog_perc_id_r1,%id. query gene identical to target Midas cichlid gene,
395,mleucophaeus_homolog_chrom_end,Drill chromosome/scaffold end (bp),
396,lcalcarifer_homolog_chrom_start,Barramundi perch chromosome/scaffold start (bp),
397,rbieti_homolog_orthology_type,Black snub-nosed monkey homology type,
398,mmurdjan_homolog_ensembl_gene,Pinecone soldierfish gene stable ID,
399,bbbison_homolog_chromosome,American bison chromosome/scaffold name,
400,ipunctatus_homolog_chromosome,Channel catfish chromosome/scaffold name,
401,bsplendens_homolog_ensembl_peptide,Siamese fighting fish protein or transcript stable ID,
402,psinensis_homolog_chrom_start,Chinese softshell turtle chromosome/scaffold start (bp),
403,cporosus_homolog_dn,dN with Australian saltwater crocodile,
404,ppardus_homolog_ensembl_peptide,Leopard protein or transcript stable ID,
405,marmatus_homolog_ensembl_peptide,Zig-zag eel protein or transcript stable ID,
